combo,trend_strength_strong,trend_strength_sideways,vol_expanding_mult,hurst_accumulation,mr_min_score,pf,sharpe,wr,dd,return,trades
TS0.35_SS0.30_VE1.20_HA0.40_MR2.5,0.35,0.3,1.2,0.4,2.5,1.62,1.67,51.7,30.18,1450.54,472
TS0.35_SS0.30_VE1.20_HA0.40_MR3.0,0.35,0.3,1.2,0.4,3.0,1.67,1.86,52.1,22.54,1475.38,455
TS0.35_SS0.30_VE1.20_HA0.45_MR2.0,0.35,0.3,1.2,0.45,2.0,1.57,1.61,50.9,30.18,1361.39,477
TS0.35_SS0.30_VE1.20_HA0.45_MR2.5,0.35,0.3,1.2,0.45,2.5,1.62,1.67,51.7,30.18,1450.54,472
TS0.35_SS0.30_VE1.20_HA0.45_MR3.0,0.35,0.3,1.2,0.45,3.0,1.67,1.86,52.1,22.54,1475.38,455
TS0.35_SS0.30_VE1.20_HA0.50_MR2.0,0.35,0.3,1.2,0.5,2.0,1.57,1.61,50.9,30.18,1361.39,477
TS0.35_SS0.30_VE1.20_HA0.50_MR2.5,0.35,0.3,1.2,0.5,2.5,1.62,1.67,51.7,30.18,1450.54,472
TS0.35_SS0.30_VE1.20_HA0.50_MR3.0,0.35,0.3,1.2,0.5,3.0,1.67,1.86,52.1,22.54,1475.38,455
TS0.35_SS0.30_VE1.25_HA0.40_MR2.0,0.35,0.3,1.25,0.4,2.0,1.57,1.61,50.9,30.18,1361.39,477
TS0.35_SS0.30_VE1.25_HA0.40_MR2.5,0.35,0.3,1.25,0.4,2.5,1.62,1.67,51.7,30.18,1450.54,472
TS0.35_SS0.30_VE1.25_HA0.40_MR3.0,0.35,0.3,1.25,0.4,3.0,1.67,1.86,52.1,22.54,1475.38,455
TS0.35_SS0.30_VE1.25_HA0.45_MR2.0,0.35,0.3,1.25,0.45,2.0,1.57,1.61,50.9,30.18,1361.39,477
TS0.35_SS0.30_VE1.25_HA0.45_MR2.5,0.35,0.3,1.25,0.45,2.5,1.62,1.67,51.7,30.18,1450.54,472
TS0.35_SS0.30_VE1.25_HA0.45_MR3.0,0.35,0.3,1.25,0.45,3.0,1.67,1.86,52.1,22.54,1475.38,455
TS0.35_SS0.30_VE1.25_HA0.50_MR2.0,0.35,0.3,1.25,0.5,2.0,1.57,1.61,50.9,30.18,1361.39,477
